Bₕ,Bₚ,LAₕ,LAₚ
0.001,0.001,-6.666678933184983e-8,6.666678933184983e-8
0.001,0.003,-0.00010006656757714326,0.00030019970273142976
0.001,0.005,-0.0001998006000992846,0.0009990030004964228
0.001,0.007,-0.0002992699548104076,0.0020948896836728535
0.001,0.009,-0.00039847581457928924,0.0035862823312136026
0.001,0.011,-0.0004974193548225973,0.00547161290304857
0.001,0.013,-0.000596101743405469,0.007749322664271098
0.001,0.015,-0.000694524140990595,0.010417862114858924
0.001,0.017,-0.0007926877007671259,0.013475690913041141
0.001,0.019,-0.0008905935686955613,0.016921277805215663
0.001,0.021,-0.0009882428835911257,0.02075310055541364
0.001,0.023,-0.0010856367770777215,0.024969645872787594
0.001,0.025,-0.0011827763737234846,0.02956940934308712
0.001,0.027,-0.0012796627910493946,0.03455089535833365
0.001,0.029,-0.0013762971396032266,0.039912617048493575
0.001,0.031,-0.0014726805230629208,0.04565309621495054
0.001,0.033,-0.0015688140381930045,0.05177086326036915
0.001,0.035,-0.0016646987749951722,0.05826445712483103
0.001,0.037,-0.0017603358167213319,0.06513242521868928
0.001,0.039,-0.001855726239924247,0.07237332335704563
0.001,0.041,-0.0019508711145098934,0.07998571569490563
0.001,0.043,-0.002045771503813771,0.08796817466399215
0.001,0.045,-0.0021404284646306224,0.096319280908378
0.001,0.047,-0.002234843047284692,0.10503762322238051
0.001,0.049,-0.002329016295654417,0.11412179848706643
0.001,0.051,-0.002422949247253167,0.1235704116099115
0.001,0.053,-0.0025166429332713677,0.1333820754633825
0.001,0.055,-0.0026100983786066347,0.1435554108233649
0.001,0.057,-0.002703316601947001,0.15408904631097906
0.001,0.059,-0.0027962986157917084,0.1649816183317108
0.001,0.061,-0.0028890454265093697,0.17623177101707152
0.001,0.063,-0.002981558034390094,0.18783815616657593
0.001,0.065,-0.0030738374337027723,0.1997994331906802
0.001,0.067,-0.0031658846127078635,0.21211426905142686
0.001,0.069,-0.003257700553742227,0.2247813382082137
0.001,0.071,-0.0033492862332457954,0.23779932256045144
0.001,0.073,-0.0034406426218058276,0.2511669113918254
0.001,0.075,-0.003531770684217843,0.26488280131633823
0.001,0.077,-0.0036226713795143085,0.27894569622260174
0.001,0.079,-0.0037133456610150195,0.2933543072201865
0.001,0.081,-0.003803794476379757,0.3081073525867603
0.001,0.083,-0.0038940187676327798,0.3232035577135207
0.001,0.085,-0.003984019471222666,0.3386416550539266
0.001,0.087,-0.004073797518072354,0.35442038407229476
0.001,0.089,-0.004163353833587946,0.3705384911893272
0.001,0.091,-0.004252689337734073,0.3869947297338006
0.001,0.093,-0.004341804945069612,0.403787859891474
0.001,0.095,-0.004430701564770463,0.42091664865319395
0.001,0.097,-0.004519380100694107,0.43837986976732835
0.001,0.099,-0.004607841451402804,0.45617630368887757
0.003,0.001,0.0002997996972414751,-9.993323241382504e-5
0.003,0.003,-1.80001953355724e-6,1.80001953355724e-6
0.003,0.005,-0.0003025961602102067,0.0005043269336836778
0.003,0.007,-0.0006025923299514379,0.0014060487698866885
0.003,0.009,-0.0009017921117292798,0.002705376335187839
0.003,0.011,-0.0012001990651855216,0.004400729905680245
0.003,0.013,-0.001497816727390538,0.006490539152025664
0.003,0.015,-0.001794648613296003,0.008973243066480015
0.003,0.017,-0.0020906982155246986,0.011847289887973294
0.003,0.019,-0.0023859690045282198,0.015111137028678725
0.003,0.021,-0.002680464429037738,0.01876325100326417
0.003,0.023,-0.002974187916141039,0.022802107357081297
0.003,0.025,-0.003267142871312548,0.027226190594271234
0.003,0.027,-0.003559332678850353,0.03203399410965317
0.003,0.029,-0.003850760701773116,0.03722402011714013
0.003,0.031,-0.004141430282238195,0.042794779583128016
0.003,0.033,-0.004431344741567675,0.04874479215724443
0.003,0.035,-0.0047205073804008945,0.055072586104677114
0.003,0.037,-0.005008921478929771,0.061776698240133834
0.003,0.039,-0.005296590297084752,0.06885567386210177
0.003,0.041,-0.005583517074584456,0.07630806668598757
0.003,0.043,-0.005869705031214284,0.08413243878073806
0.003,0.045,-0.0061551573669557935,0.0923273605043369
0.003,0.047,-0.006439877262091131,0.10089141043942772
0.003,0.049,-0.006723867877412156,0.10982317533106521
0.003,0.051,-0.007007132354369452,0.11912125002428067
0.003,0.053,-0.0072896738152086965,0.1287842374020203
0.003,0.055,-0.007571495363142864,0.13881074832428583
0.003,0.057,-0.007852600082510845,0.14919940156770606
0.003,0.059,-0.008132991038857604,0.15994882376419953
0.003,0.061,-0.008412671279166504,0.17105764934305226
0.003,0.063,-0.008691643831987141,0.18252452047172996
0.003,0.065,-0.008969911707554658,0.19434808699701758
0.003,0.067,-0.009247477897936156,0.2065270063872408
0.003,0.069,-0.009524345377196604,0.2190599436755219
0.003,0.071,-0.009800517101507257,0.2319455714023384
0.003,0.073,-0.010075996009324956,0.24518256956024057
0.003,0.075,-0.010350785021494856,0.2587696255373714
0.003,0.077,-0.010624887041395957,0.27270543406249625
0.003,0.079,-0.01089830495511214,0.28698869715128633
0.003,0.081,-0.011171041631502397,0.3016181240505647
0.003,0.083,-0.011443099922390974,0.3165924311861503
0.003,0.085,-0.011714482662644523,0.3319103421082615
0.003,0.087,-0.01198519267037527,0.34757058744088276
0.003,0.089,-0.012255232747007802,0.36357190482789814
0.003,0.091,-0.01252460567741076,0.3799130388814597
0.003,0.093,-0.012793314230088828,0.39659274113275367
0.003,0.095,-0.013061361157206705,0.41360976997821236
0.003,0.097,-0.013328749194798997,0.43096289063183424
0.003,0.099,-0.013595481062857464,0.4486508750742963
0.005,0.001,0.0010010029993517797,-0.00020020059987035593
0.005,0.003,0.0004956600660473268,-0.00029739603962839606
0.005,0.005,-8.333583382789945e-6,8.333583382789945e-6
0.005,0.007,-0.00051098401458348,0.000715377620416872
0.005,0.009,-0.0010122972552778179,0.0018221350595000719
0.005,0.011,-0.0015122792950071628,0.0033270144490157583
0.005,0.013,-0.0020109360846932486,0.005228433820202445
0.005,0.015,-0.00250827353777612,0.00752482061332836
0.005,0.017,-0.0030042975303827286,0.010214611603301277
0.005,0.019,-0.0034990139012044575,0.013296252824576938
0.005,0.021,-0.003992428452339869,0.01676819949982745
0.005,0.023,-0.004484546949300148,0.02062891596678068
0.005,0.025,-0.004975375121256274,0.024876875606281372
0.005,0.027,-0.005464918661561917,0.02951056077243435
0.005,0.029,-0.005953183227949563,0.03452846272210746
0.005,0.031,-0.006440174442605148,0.039929081544151916
0.005,0.033,-0.006925897892920318,0.045710926093274096
0.005,0.035,-0.007410359131290605,0.05187251391903424
0.005,0.037,-0.007893563675706679,0.05841237120022943
0.005,0.039,-0.00837551700999174,0.06532903267793558
0.005,0.041,-0.008856224583855996,0.07262104158761917
0.005,0.043,-0.009335691813506587,0.08028694959615665
0.005,0.045,-0.009813924081618935,0.08832531673457042
0.005,0.047,-0.010290926737819703,0.09673471133550521
0.005,0.049,-0.010766705098866805,0.10551370996889468
0.005,0.051,-0.011241264448828184,0.11466089737804747
0.005,0.053,-0.011714610039483236,0.1241748664185223
0.005,0.055,-0.012186747090529353,0.13405421799582287
0.005,0.057,-0.012657680789830062,0.1442975610040627
0.005,0.059,-0.013127416293610783,0.15490351226460722
0.005,0.061,-0.013595958726828658,0.16587069646730962
0.005,0.063,-0.014063313183299897,0.1771977461095787
0.005,0.065,-0.014529484726052993,0.18888330143868892
0.005,0.067,-0.01499447838746047,0.2009260103919703
0.005,0.069,-0.015458299169595822,0.21332452854042236
0.005,0.071,-0.015920952044345186,0.22607751902970163
0.005,0.073,-0.01638244195376471,0.23918365252496476
0.005,0.075,-0.016842773810229132,0.252641607153437
0.005,0.077,-0.01730195249671297,0.26645006844937974
0.005,0.079,-0.01775998286696417,0.2806077292980339
0.005,0.081,-0.018216869745823056,0.2951132898823335
0.005,0.083,-0.018672617929322673,0.3099654576267564
0.005,0.085,-0.019127232184996037,0.32516294714493266
0.005,0.087,-0.019580717252116624,0.3407044801868292
0.005,0.089,-0.02003307784185972,0.35658878558510304
0.005,0.091,-0.020484318637488248,0.3728145992022861
0.005,0.093,-0.02093444429468323,0.3893806638811081
0.005,0.095,-0.02138345944162961,0.4062857293909626
0.005,0.097,-0.021831368679334086,0.42352855237908127
0.005,0.099,-0.022278176581773813,0.44110789631912156
0.007,0.001,0.0021051565169348057,-0.0003007366452764008
0.007,0.003,0.0013939148261792737,-0.0005973920683625459
0.007,0.005,0.0006845761744613336,-0.0004889829817580954
0.007,0.007,-2.2868011350152818e-5,2.2868011350152818e-5
0.007,0.009,-0.0007284262494114905,0.0009365480349576306
0.007,0.011,-0.0014321070037850853,0.0022504538630908483
0.007,0.013,-0.002133918684937481,0.003962991843455322
0.007,0.015,-0.002833869649288418,0.0060725778199037525
0.007,0.017,-0.003531968200526558,0.008577637058421642
0.007,0.019,-0.004228222589917938,0.011476604172634401
0.007,0.021,-0.004922641016192736,0.014767923048578208
0.007,0.023,-0.005615231626776183,0.018450046773693173
0.007,0.025,-0.006306002517373829,0.02252143756204939
0.007,0.027,-0.006994961733208689,0.026980566685233517
0.007,0.029,-0.00768211726869536,0.03182591439888078
0.007,0.031,-0.008367477068576363,0.03705596987512389
0.007,0.033,-0.009051049027606214,0.042669231130143585
0.007,0.035,-0.009732840991450433,0.04866420495725217
0.007,0.037,-0.010412860756873506,0.05503940685775995
0.007,0.039,-0.011091116072337303,0.061793360974450685
0.007,0.041,-0.011767614638129599,0.0689246000233305
0.007,0.043,-0.012442364106816197,0.0764316652275852
0.007,0.045,-0.013115372083808119,0.08431310625305219
0.007,0.047,-0.013786646127555244,0.09256748114215664
0.007,0.049,-0.014456193749970411,0.10119335624979288
0.007,0.051,-0.015124022416780219,0.11018930617939873
0.007,0.053,-0.01579013954800423,0.11955391372060346
0.007,0.055,-0.016454552518151925,0.12928576978547943
0.007,0.057,-0.017117268656776624,0.13938347334803822
0.007,0.059,-0.01777829524856815,0.14984563138078869
0.007,0.061,-0.01843763953400083,0.16067085879629292
0.007,0.063,-0.01909530870949373,0.17185777838544358
0.007,0.065,-0.019751309927838603,0.1834050207585013
0.007,0.067,-0.0204056502984635,0.19531122428529354
0.007,0.069,-0.02105833688789817,0.20757503503785338
0.007,0.071,-0.021709376719994986,0.22019510673137768
0.007,0.073,-0.022358776776330618,0.23317010066744784
0.007,0.075,-0.023006543996473155,0.24649868567649807
0.007,0.077,-0.023652685278413833,0.2601795380625521
0.007,0.079,-0.024297207478795765,0.27421134154640936
0.007,0.081,-0.02494011741327819,0.28859278721079046
0.007,0.083,-0.025581421856819036,0.30332257344513996
0.007,0.085,-0.02622112754404698,0.31839940589199905
0.007,0.087,-0.02685924116954668,0.33382199739293733
0.007,0.089,-0.027495769388152097,0.34958906793507666
0.007,0.091,-0.02813071881523745,0.36569934459808684
0.007,0.093,-0.028764096027104117,0.3821515615029547
0.007,0.095,-0.029395907561176483,0.3989444597588237
