Bₕ,Bₚ,LAₕ,LAₚ
0.001,0.001,-1.4994651794496652e-23,1.4994651794496652e-23
0.001,0.003,-5.254124275607157e-20,1.576237282682147e-19
0.001,0.005,-1.0509743735632572e-19,5.254871867816286e-19
0.001,0.007,-1.5768355280611454e-19,1.1037848696428018e-18
0.001,0.009,-2.1029956348827215e-19,1.892696071394449e-18
0.001,0.011,-2.629454438148681e-19,2.892399881963549e-18
0.001,0.013,-3.1562116822716477e-19,4.103075186953142e-18
0.001,0.015,-3.6832671119557653e-19,5.524900667933648e-18
0.001,0.017,-4.2106204721962796e-19,7.158054802733676e-18
0.001,0.019,-4.738271508279118e-19,9.002715865730325e-18
0.001,0.021,-5.266219965780486e-19,1.1059061928139021e-17
0.001,0.023,-5.794465590566446e-19,1.3327270858302825e-17
0.001,0.025,-6.323008128792505e-19,1.5807520321981262e-17
0.001,0.027,-6.851847326903205e-19,1.849998778263865e-17
0.001,0.029,-7.380982931631717e-19,2.1404850501731978e-17
0.001,0.031,-7.910414689999416e-19,2.4522285538998187e-17
0.001,0.033,-8.440142349315484e-19,2.78524697527411e-17
0.001,0.035,-8.970165657176496e-19,3.1395579800117737e-17
0.001,0.037,-9.500484361466015e-19,3.515179213742425e-17
0.001,0.039,-1.0031098210354172e-18,3.912128302038127e-17
0.001,0.041,-1.056200695229728e-18,4.3304228504418854e-17
0.001,0.043,-1.1093210336037413e-18,4.770080444496087e-17
0.001,0.045,-1.1624708110602e-18,5.2311186497709e-17
0.001,0.047,-1.215650002530342e-18,5.713555011892607e-17
0.001,0.049,-1.2688585829738605e-18,6.217407056571918e-17
0.001,0.051,-1.3220965273788643e-18,6.742692289632207e-17
0.001,0.053,-1.3753638107618344e-18,7.289428197037722e-17
0.001,0.055,-1.4286604081675867e-18,7.857632244921727e-17
0.001,0.057,-1.4819862946692324e-18,8.447321879614625e-17
0.001,0.059,-1.5353414453681335e-18,9.058514527671987e-17
0.001,0.061,-1.5887258353938683e-18,9.691227595902596e-17
0.001,0.063,-1.6421394399041873e-18,1.034547847139638e-16
0.001,0.065,-1.6955822340849768e-18,1.1021284521552349e-16
0.001,0.067,-1.7490541931502156e-18,1.1718663094106445e-16
0.001,0.069,-1.802555292341936e-18,1.2437631517159358e-16
0.001,0.071,-1.856085506930188e-18,1.3178207099204331e-16
0.001,0.073,-1.909644812212994e-18,1.3940407129154858e-16
0.001,0.075,-1.9632331835163132e-18,1.472424887637235e-16
0.001,0.077,-2.016850596194e-18,1.55297495906938e-16
0.001,0.079,-2.0704970256277668e-18,1.6356926502459357e-16
0.001,0.081,-2.124172447227141e-18,1.7205796822539845e-16
0.001,0.083,-2.17787683642943e-18,1.8076377742364271e-16
0.001,0.085,-2.2316101686996798e-18,1.8968686433947282e-16
0.001,0.087,-2.285372419530634e-18,1.9882740049916517e-16
0.001,0.089,-2.3391635644427006e-18,2.0818555723540035e-16
0.001,0.091,-2.3929835789839053e-18,2.1776150568753536e-16
0.001,0.093,-2.4468324387298586e-18,2.2755541680187686e-16
0.001,0.095,-2.500710119283714e-18,2.3756746133195283e-16
0.001,0.097,-2.5546165962761293e-18,2.4779780983878454e-16
0.001,0.099,-2.6085518453652298e-18,2.582466326911578e-16
0.003,0.001,1.5757933073136613e-19,-5.252644357712204e-20
0.003,0.003,-4.056677460912214e-22,4.056677460912214e-22
0.003,0.005,-1.5848066014505067e-19,2.6413443357508443e-19
0.003,0.007,-3.166455693719188e-19,7.3883966186781055e-19
0.003,0.009,-4.749003184211333e-19,1.4247009552633998e-18
0.003,0.011,-6.332448303750383e-19,2.32189771137514e-18
0.003,0.013,-7.916790284037582e-19,3.430609123082952e-18
0.003,0.015,-9.502028357650728e-19,4.751014178825363e-18
0.003,0.017,-1.1088161758042915e-18,6.283291662890986e-18
0.003,0.019,-1.2675189719541307e-18,8.027620155709494e-18
0.003,0.021,-1.4263111477345867e-18,9.984178034142108e-18
0.003,0.023,-1.5851926267528123e-18,1.215314347177156e-17
0.003,0.025,-1.7441633327029938e-18,1.4534694439191616e-17
0.003,0.027,-1.9032231893662255e-18,1.7129008704296028e-17
0.003,0.029,-2.0623721206103883e-18,1.9936263832567086e-17
0.003,0.031,-2.2216100503900217e-18,2.2956637187363557e-17
0.003,0.033,-2.380936902746205e-18,2.6190305930208254e-17
0.003,0.035,-2.5403526018064346e-18,2.963744702107507e-17
0.003,0.037,-2.6998570717844927e-18,3.3298237218675404e-17
0.003,0.039,-2.85945023698034e-18,3.717285308074442e-17
0.003,0.041,-3.0191320217799794e-18,4.1261470964326384e-17
0.003,0.043,-3.178902350655337e-18,4.556426702605983e-17
0.003,0.045,-3.3387611481641484e-18,5.0081417222462225e-17
0.003,0.047,-3.4987083389498224e-18,5.481309731021389e-17
0.003,0.049,-3.658743847741335e-18,5.97594828464418e-17
0.003,0.051,-3.818867599353093e-18,6.492074918900258e-17
0.003,0.053,-3.979079518684825e-18,7.029707149676524e-17
0.003,0.055,-4.139379530721456e-18,7.588862472989335e-17
0.003,0.057,-4.299767560532985e-18,8.16955836501267e-17
0.003,0.059,-4.460243533274361e-18,8.771812282106242e-17
0.003,0.061,-4.620807374185374e-18,9.395641660843593e-17
0.003,0.063,-4.78145900859053e-18,1.0041063918040113e-16
0.003,0.065,-4.9421983618989174e-18,1.0708096450780987e-16
0.003,0.067,-5.103025359604112e-18,1.1396756636449185e-16
0.003,0.069,-5.263939927284037e-18,1.2107061832753286e-16
0.003,0.071,-5.424941990600852e-18,1.2839029377755348e-16
0.003,0.073,-5.586031475300836e-18,1.35926765898987e-16
0.003,0.075,-5.7472083072142626e-18,1.4368020768035657e-16
0.003,0.077,-5.908472412255285e-18,1.5165079191455232e-16
0.003,0.079,-6.069823716421819e-18,1.5983869119910789e-16
0.003,0.081,-6.2312621457954145e-18,1.682440779364762e-16
0.003,0.083,-6.392787626541153e-18,1.7686712433430523e-16
0.003,0.085,-6.554400084907521e-18,1.857080024057131e-16
0.003,0.087,-6.716099447226284e-18,1.9476688396956223e-16
0.003,0.089,-6.877885639912394e-18,2.0404394065073436e-16
0.003,0.091,-7.039758589463843e-18,2.1353934388040323e-16
0.003,0.093,-7.201718222461559e-18,2.232532648963083e-16
0.003,0.095,-7.363764465569302e-18,2.331858747430279e-16
0.003,0.097,-7.525897245533517e-18,2.433373442722504e-16
0.003,0.099,-7.688116489183249e-18,2.537078441430472e-16
0.005,0.001,5.262447537806767e-19,-1.0524895075613534e-19
0.005,0.003,2.6225656777474494e-19,-1.5735394066484695e-19
0.005,0.005,-1.8818664752139084e-21,1.8818664752139084e-21
0.005,0.007,-2.6617042022177557e-19,3.7263858831048583e-19
0.005,0.009,-5.306089648645713e-19,9.550961367562284e-19
0.005,0.011,-7.951973719500797e-19,1.749434218290175e-18
0.005,0.013,-1.059935513171414e-18,2.7558323342456763e-18
0.005,0.015,-1.3248232603681164e-18,3.974469781104349e-18
0.005,0.017,-1.5898604855259456e-18,5.405525650788215e-18
