Bₕ,Bₚ,LAₕ,LAₚ
0.001,0.001,0.025143352703013294,-0.025143352703013294
0.001,0.003,28.359328904632996,-85.077986713899
0.001,0.005,56.593121834759664,-282.9656091737983
0.001,0.007,84.72705684352368,-593.0893979046658
0.001,0.009,112.76166491559326,-1014.8549842403393
0.001,0.011,140.69747326335292,-1547.672205896882
0.001,0.013,168.53500536046158,-2190.955069686
0.001,0.015,196.2747809750583,-2944.121714625874
0.001,0.017,223.9173162026039,-3806.5943754442665
0.001,0.019,251.46312349838064,-4777.799346469232
0.001,0.021,278.91271170964177,-5857.166945902477
0.001,0.023,306.26658610742186,-7044.131480470703
0.001,0.025,333.5252484180077,-8338.131210450192
0.001,0.027,360.68919685408525,-9738.608315060303
0.001,0.029,387.758926145537,-11245.008858220572
0.001,0.031,414.73492756994466,-12856.782754668284
0.001,0.033,441.6176889827401,-14573.383736430424
0.001,0.035,468.4076948470648,-16394.26931964727
0.001,0.037,495.1054262632972,-18318.900771741995
0.001,0.039,521.7113609982886,-20346.743078933257
0.001,0.041,548.2259735142779,-22477.264914085397
0.001,0.043,574.6497349975161,-24709.938604893192
0.001,0.045,600.9831133865764,-27044.24010239594
0.001,0.047,627.2265734004037,-29479.648949818977
0.001,0.049,653.380576566038,-32015.648251735867
0.001,0.051,679.4455812460569,-34651.7246435489
0.001,0.053,705.422042665763,-37387.36826128543
0.001,0.055,731.3104129400476,-40222.07271170262
0.001,0.057,757.1111411000206,-43155.335042701176
0.001,0.059,782.8246731193244,-46186.655714040135
0.001,0.061,808.4514519402228,-49315.538568353586
0.001,0.063,833.9919174993779,-52541.49080246081
0.001,0.065,859.4465067533968,-55864.02293897079
0.001,0.067,884.8156537041057,-59282.64879817508
0.001,0.069,910.0997910424708,-62796.88558193049
0.001,0.071,935.2993438351463,-66406.25341229538
0.001,0.073,960.4147388547847,-70110.27593639928
0.001,0.075,985.4463985316715,-73908.47988987537
0.001,0.077,1010.3947424638668,-77800.39516971774
0.001,0.079,1035.2601874409806,-81785.55480783747
0.001,0.081,1060.04314746772,-85863.49494488533
0.001,0.083,1084.7440337871753,-90033.75480433555
0.001,0.085,1109.3632549038814,-94295.87666682992
0.001,0.087,1133.9012166066568,-98649.40584477913
0.001,0.089,1158.3582874394706,-103093.88758211289
0.001,0.091,1182.7349361874171,-107628.87919305495
0.001,0.093,1207.0315268202157,-112253.93199428005
0.001,0.095,1231.2484544875667,-116968.60317631882
0.001,0.097,1255.386111734228,-121772.45283822012
0.001,0.099,1279.4448885215224,-126665.04396363074
0.003,0.001,-84.92712377355414,28.309041257851383
0.003,0.003,0.6788705229651947,-0.6788705229651947
0.003,0.005,85.97992666766108,-143.29987777943512
0.003,0.007,170.97768514392797,-398.9479320024986
0.003,0.009,255.67376482316257,-767.0212944694877
0.003,0.011,340.06977544393646,-1246.9225099611003
0.003,0.013,424.1673153200108,-1838.0583663867133
0.003,0.015,507.96797138830584,-2539.839856941529
0.003,0.017,591.47331930402,-3351.68214272278
0.003,0.019,674.6849235500079,-4273.004515816717
0.003,0.021,757.604337535971,-5303.230362751798
0.003,0.023,840.2331036965971,-6441.7871283405775
0.003,0.025,922.572753588663,-7688.106279905525
0.003,0.027,1004.6248079870907,-9041.623271883815
0.003,0.029,1086.3907769799916,-10501.777510806585
0.003,0.031,1167.872160062698,-12068.012320647878
0.003,0.033,1249.0704462308152,-13739.774908538966
0.003,0.035,1329.987114072282,-15516.516330843291
0.003,0.037,1410.623631858444,-17397.691459587473
0.003,0.039,1490.9814576341992,-19382.758949244588
0.003,0.041,1571.0620393071617,-21471.181203864544
0.003,0.043,1650.8668147359492,-23662.424344548603
0.003,0.045,1730.397211817492,-25955.95817726238
0.003,0.047,1809.6546485734116,-28351.25616098345
