x,y,z,W,spp
28.3268,26.8599,60.7203,1.02256,1
31.223,15.6455,-12.6363,1.03905,1
29.9452,10.6767,-33.7186,1.05476,1
33.2498,8.00168,83.19,1.05898,1
21.9961,14.8083,91.1083,1.05581,1
41.5632,16.2355,-1.51061,1.03801,1
37.5594,46.2223,20.5423,1.0134,1
41.5286,40.9886,43.0555,1.01848,1
44.1559,40.6939,-36.2168,1.00834,1
32.8159,34.9253,43.7133,1.0195,1
30.6949,3.75921,134.021,1.07714,1
31.7038,7.47067,-6.42052,1.06217,1
46.2972,46.7504,25.9399,1.00734,1
58.7238,45.89,-7.74503,1.00834,1
57.6981,50.0636,51.9151,0.998312,1
50.6699,38.068,-31.4439,1.00031,1
39.6688,19.0763,-100.386,1.02974,1
47.8559,53.9784,67.1453,1.00734,1
52.1621,51.0271,24.7606,0.995321,1
40.6092,17.5557,73.9,1.03387,1
39.0023,32.6833,-163.269,0.993333,1
56.3042,36.4805,-103.421,0.995321,1
74.6056,38.3627,-88.9625,1.02871,1
39.4601,45.7886,-43.2568,1.01239,1
9.20086,11.6863,-40.421,1.07606,1
2.77129,11.4286,39.9645,1.08797,1
17.2921,90.1187,-85.3113,1.07284,1
17.7548,81.2561,-126.726,1.04531,1
14.6196,83.5746,-78.8139,1.05687,1
24.7849,73.2071,-89.739,1.02871,1
16.4105,79.6682,-1.61716,1.04322,1
22.0635,77.4302,22.7208,1.03181,1
19.6612,88.7163,-28.8522,1.0611,1
16.5659,80.9306,35.7526,1.05055,1
14.123,76.1497,193.549,1.04322,1
28.4074,66.696,-103.009,1.01644,1
27.6902,63.2434,-69.1194,1.01848,1
21.7388,58.0528,24.3184,1.00432,1
17.9102,55.0174,-25.4092,1.00935,1
18.1322,59.6016,10.5093,1.01746,1
41.1986,74.3066,-127.642,1.01441,1
46.5185,74.4176,14.9488,1.02666,1
58.9081,72.1315,-3.72727,1.03905,1
57.5267,73.0911,30.1623,1.03698,1
62.2038,83.5504,-29.2208,1.03181,1
26.2933,61.1062,-23.8531,1.01441,1
71.1303,36.0545,36.5972,1.03284,1
77.6007,53.5581,-7.34188,1.03284,1
71.4585,61.6748,36.4129,1.02461,1
79.6086,60.7501,23.0191,1.03181,1
71.0684,62.6465,-34.4354,1.02461,1
79.4673,60.6805,87.0557,1.03077,1
73.4747,54.3948,153.088,1.03698,1
79.0197,44.3828,297.375,1.02256,1
52.2613,60.7004,50.7467,1.02666,1
59.5938,61.7039,-57.5335,1.03077,1
44.2625,44.1026,73.6308,1.00633,1
30.5729,50.9747,65.4738,1.02563,1
52.9816,52.2318,114.471,0.991348,1
64.446,45.2179,-163.646,1.01239,1
51.898,61.2911,-215.926,1.02461,1
64.2162,49.3186,83.7775,1.01848,1
54.2041,39.9428,-9.48254,0.994326,1
41.0164,46.7462,63.2837,1.01036,1
14.0362,44.3513,7.31316,1.04531,1
30.4845,21.7306,33.7017,1.01644,1
31.7557,24.2452,98.6858,1.02154,1
29.8804,27.3328,38.1892,1.01746,1
34.2928,23.0083,-55.7233,1.01441,1
57.2156,64.6448,63.3968,1.03905,1
18.5932,13.681,-41.0416,1.06642,1
6.14247,5.94765,34.1624,1.08797,1
10.6041,17.1229,-167.697,1.07714,1
66.4923,21.461,86.535,1.02871,1
53.0107,31.0066,121.977,0.989367,1
46.8538,24.202,81.6314,1.01137,1
75.5492,19.9721,-73.9511,1.03698,1
60.5576,23.4528,12.7446,1.02461,1
57.0345,29.3768,103.694,1.00332,1
85.3139,7.80285,143.534,1.07822,1
60.3387,4.84731,50.2401,1.06536,1
87.921,16.32,2.57774,1.06749,1
91.7124,19.4535,-27.0271,1.07499,1
87.427,17.0913,149.367,1.06536,1
88.5487,19.4831,-43.5981,1.0611,1
89.6496,8.3756,30.2031,1.08254,1
86.8369,14.5296,-89.0169,1.06536,1
77.614,16.003,-60.3948,1.05687,1
83.1125,20.9263,-30.3268,1.05793,1
86.2421,28.5355,-75.4551,1.04426,1
27.8014,83.282,171.478,1.04009,1
17.7223,81.8507,41.5215,1.0474,1
26.4255,83.6482,72.3685,1.03801,1
35.8429,74.1999,102.667,1.02974,1
3.18001,69.4356,-216.516,1.07714,1
9.59608,74.5484,-21.0813,1.05265,1
4.47297,75.3195,-57.7653,1.07714,1
9.79303,72.2824,37.3356,1.04635,1
28.3963,80.097,-8.19236,1.03284,1
35.3047,69.7822,-18.0278,1.0195,1
12.3347,79.6342,43.7618,1.0474,1
20.7574,67.9232,114.036,1.02666,1
21.2964,36.8317,-87.087,1.03905,1
21.7945,51.3486,70.5671,1.01441,1
8.78586,50.1771,18.3553,1.04845,1
16.1856,55.4544,-25.1533,1.01441,1
13.4023,57.4266,90.6062,1.03698,1
16.175,59.4824,44.9598,1.02154,1
89.2064,19.1214,-18.8332,1.06642,1
86.0981,10.1872,53.9491,1.07606,1
72.341,3.63514,149.583,1.08471,1
53.4726,25.1937,110.572,0.994326,1
49.0192,20.8382,14.1449,1.0134,1
43.6433,22.4921,112.563,1.01848,1
52.6165,30.1239,11.6951,0.991348,1
67.5028,29.8767,47.4713,1.01746,1
63.6508,33.1059,223.572,1.01746,1
63.132,38.5272,163.726,1.01543,1
55.3181,10.6543,108.537,1.04531,1
55.795,1.88109,-9.04257,1.0707,1
49.7049,14.3141,12.9151,1.02769,1
56.1452,2.41207,126.06,1.06749,1
54.398,6.23508,60.023,1.06004,1
37.0139,41.8455,-16.0512,1.01543,1
33.4867,43.5521,-6.67908,1.02256,1
45.8257,36.0878,11.5405,0.997314,1
52.9951,8.42558,20.2666,1.04322,1
16.4938,9.68822,80.8141,1.07284,1
30.7456,4.0344,48.6929,1.07606,1
54.8556,0.367259,-40.6688,1.08146,1
45.84,18.4449,-124.364,1.02563,1
44.1265,23.328,-64.2599,1.01746,1
27.4878,23.6239,-155.741,1.01848,1
38.7934,49.2961,138.857,1.02154,1
38.5518,60.9277,81.2724,1.00231,1
39.6097,66.6198,-109.1,1.00935,1
43.603,90.0733,46.4947,1.06004,1
35.735,86.1402,10.9168,1.0611,1
42.2259,87.771,-82.2111,1.05793,1
25.5532,79.0221,5.72448,1.02974,1
35.4171,84.2613,-112.807,1.05265,1
37.7615,80.2303,-208.668,1.03801,1
39.5625,67.8948,86.4746,1.0134,1
30.9883,85.9709,115.009,1.0516,1
28.1095,86.792,103.848,1.04845,1
34.6285,78.1611,117.257,1.03801,1
31.9959,89.1128,69.7575,1.06323,1
25.6622,87.5833,61.7093,1.05265,1
9.85209,72.3978,7.37287,1.04531,1
24.6177,70.6233,-150.613,1.02666,1
33.849,87.9809,-59.9904,1.0611,1
12.2321,86.0991,-125.708,1.07177,1
12.4024,72.6894,-103.543,1.04009,1
6.29379,78.494,-93.3406,1.07606,1
12.8804,66.2654,-27.7693,1.04531,1
25.3078,82.8036,34.6152,1.03594,1
19.2399,81.9019,-29.0577,1.04531,1
23.4623,70.6688,-86.8773,1.02666,1
16.8012,77.2625,-47.4676,1.04113,1
29.8905,75.5194,24.914,1.02871,1
18.4809,51.9014,31.7139,1.0134,1
6.00805,48.9191,-7.59882,1.05687,1
7.25101,55.5851,-46.8771,1.05476,1
23.4535,59.3629,58.2312,1.01036,1
8.0935,48.4167,-151.28,1.05055,1
6.89702,49.5897,-107.196,1.05476,1
14.1455,55.8743,-113.723,1.03698,1
12.1226,41.8816,-194.468,1.0495,1
2.61103,37.7046,-104.166,1.08038,1
9.31724,68.6542,76.3521,1.0474,1
7.41183,72.0156,82.2144,1.05898,1
12.8404,67.4138,-17.6514,1.04322,1
10.6758,65.6289,-24.3386,1.0516,1
16.8539,77.9644,-94.0705,1.04218,1
5.88961,77.7925,8.91368,1.07391,1
35.8838,86.5252,6.57196,1.0611,1
37.5345,80.82,2.54296,1.04113,1
48.9913,78.9134,86.2571,1.03387,1
50.6087,93.198,7.84241,1.06004,1
13.4881,71.4602,142.451,1.04009,1
5.21706,79.5623,-59.9105,1.08471,1
45.5107,70.946,-96.2901,1.02256,1
28.9728,62.0712,-109.927,1.02461,1
28.5375,69.8704,80.4384,1.02461,1
29.4394,69.5285,-48.9376,1.02563,1
26.5282,68.0906,-81.5865,1.01543,1
39.0544,68.6586,-173.302,1.00935,1
52.7516,79.3143,-68.6473,1.04218,1
47.407,84.2041,44.2466,1.03905,1
51.0621,49.4108,81.3022,0.996317,1
45.2402,59.8779,-8.07909,1.01543,1
54.7725,68.2268,162.598,1.03698,1
47.3603,54.1807,131.227,1.00532,1
59.6287,50.9693,271.311,1.00432,1
13.1362,73.9888,101.29,1.03594,1
